"id","course_id","course_number","class_title","prerequisite","gen_ed_req","credits","level","meeting_days","meeting_times","Quarter"
"20234:CSE:458:A","2b6c9789-46d1-4f5b-8a26-40ed13953a18","CSE 458","Computer Animation","CSE 457.","","5","400","TTh","11:30 AM - 12:50 PM","AU 23"
"20234:CSE:461:A,AB","aa2ffb7f-b47f-400b-a91d-e428fc0b3636","CSE 461","Introduction to Computer-Communication Networks","either CSE 326 or CSE 332; either CSE 303 or CSE 333.","","4","400","MWF","12:30 PM - 1:20 PM","AU 23"
"20233B:CSE:464:A","6eb0e278-48dd-43de-bb12-e6df9f92774a","CSE 464","Advanced Topics in Digital Animation","","","1-5","400","MW","10:30 AM - 1:50 PM","SU 23"
"20234:CSE:469:A","1987efba-0171-498d-b013-c80d1946d356","CSE 469","Computer Architecture I","either E E 271 or CSE 369;  and either CSE 123 or CSE 143.","","5","400","MTWF","10:30 AM - 11:20 AM","AU 23"
"20234:CSE:473:A","692fc2f1-7fcf-4b86-a3e5-75696cd51b12","CSE 473","Introduction to Artificial Intelligence","CSE 312 and CSE 332.","","3","400","MWF","2:30 PM - 3:20 PM","AU 23"
"20233:CSE:474:A","f083f25a-7a01-47da-87d2-38967b7a26b8","CSE 474","Introduction to Embedded Systems","CSE 123 or CSE 143","","4","400","TTh","10:50 AM - 1:00 PM","SU 23"
"20234:CSE:474:A","f083f25a-7a01-47da-87d2-38967b7a26b8","CSE 474","Introduction to Embedded Systems","CSE 123 or CSE 143","","4","400","MW","2:30 PM - 4:20 PM","AU 23"
"20234:CSE:475:A","1c6d3630-2cd0-46d7-880e-6003d33cb34d","CSE 475","Embedded Systems Capstone","either E E 271 or CSE 369; either CSE 466, E E 472, or CSE 474/E E 474.","","5","400","TTh","4:30 PM - 6:20 PM","AU 23"
"20234:CSE:480:A","d7315e5a-f3c8-4f45-84c4-205517491875","CSE 480","Computer Ethics Seminar","","DIV","1-3","400","WF","3:30 PM - 4:20 PM","AU 23"
"20234:CSE:481:S","14213037-90e3-4030-8823-d155b0b948a1","CSE 481","Capstone Software Design","CSE 312; CSE 332; CSE 351; and either CSE 331, CSE 333, or CSE 369.","","5","400","T","1:30 PM - 3:50 PM","AU 23"
"20234:CSE:484:A,AC","bc5855d6-796f-4fe0-87cc-3c2e94802ceb","CSE 484","Computer Security","CSE 332; CSE 351.","","4","400","MWF","10:30 AM - 11:20 AM","AU 23"
"20234:CSE:486:A","0b988f4d-29ef-48f9-b28d-e70b36e611a4","CSE 486","Introduction to Synthetic Biology","either MATH 136, MATH 207, MATH 307, AMATH 351, or CSE 311; and either MATH 208, MATH 308, or AMATH 352.","","3","400","MWF","11:30 AM - 12:20 PM","AU 23"
"20233B:CSE:490:B","fe57f558-40a4-472e-ad18-5d954661a2e0","CSE 490","Special Topics in Computer Science and Engineering","","","1-5","400","TTh","10:30 AM - 12:30 PM","SU 23"
"20233A:CSE:490:A","fe57f558-40a4-472e-ad18-5d954661a2e0","CSE 490","Special Topics in Computer Science and Engineering","","","1-5","400","TTh","10:30 AM - 12:30 PM","SU 23"
"20234:CSE:490:A","fe57f558-40a4-472e-ad18-5d954661a2e0","CSE 490","Special Topics in Computer Science and Engineering","","","1-5","400","TTh","1:30 PM - 3:20 PM","AU 23"
"20234:CSE:492:M","2a831596-aa97-49c3-ad0a-f91df4b69ef4","CSE 492","Undergraduate Seminar","","","1-2","400","null","null","AU 23"
"20234:CSE:493:Z","ea33fa49-3125-42b3-a8c4-7dc2df523942","CSE 493","Advanced Special Topics in Computer Science and Engineering","","","1-5","400","MWF","3:30 PM - 4:20 PM","AU 23"
"20234:CSE:495:A","60036b6a-f441-4642-a7f9-e66e0e7ccd76","CSE 495","Project Practicum","","","1-5","400","null","null","AU 23"
"20233:CSE:496:A","422e4afa-74b9-4e25-b320-c484d16f0c23","CSE 496","Honors Undergraduate Research","","","1-9","400","null","null","SU 23"
"20234:CSE:496:A","422e4afa-74b9-4e25-b320-c484d16f0c23","CSE 496","Honors Undergraduate Research","","","1-9","400","null","null","AU 23"
"20233:CSE:498:A","bdffea95-f8fb-48da-ade5-3dc19357d010","CSE 498","Undergraduate Research","","","1-9","400","null","null","SU 23"
"20234:CSE:498:A","bdffea95-f8fb-48da-ade5-3dc19357d010","CSE 498","Undergraduate Research","","","1-9","400","null","null","AU 23"
"20233:CSE:499:A","e0ba37e9-1ddf-4fae-873b-0c5c590b14c8","CSE 499","Reading and Research","","","1-24","400","null","null","SU 23"
